Data Year,County,Dashboard Fuel Type Group,Fuel Type,Make,Model,Number of Vehicles
2010,Alameda,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,3
2010,Alameda,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,17
2010,Alameda,Diesel,Diesel,,,10939
2010,Alameda,Gasoline,Flex Fuel,,,10974
2010,Alameda,Gasoline,Gasoline,,,840577
2010,Alameda,Gasoline Hybrid,Gasoline Hybrid,,,22720
2010,Alameda,Other,Natural Gas,,,173
2010,Alameda,Other,Propane,,,19
2010,Alpine,Diesel,Diesel,,,73
2010,Alpine,Gasoline,Flex Fuel,,,16
2010,Alpine,Gasoline,Gasoline,,,943
2010,Alpine,Gasoline Hybrid,Gasoline Hybrid,,,9
2010,Amador,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Amador,Diesel,Diesel,,,2065
2010,Amador,Gasoline,Flex Fuel,,,489
2010,Amador,Gasoline,Gasoline,,,27584
2010,Amador,Gasoline Hybrid,Gasoline Hybrid,,,322
2010,Amador,Other,Natural Gas,,,4
2010,Amador,Other,Propane,,,16
2010,Butte,Diesel,Diesel,,,6887
2010,Butte,Gasoline,Flex Fuel,,,2441
2010,Butte,Gasoline,Gasoline,,,122257
2010,Butte,Gasoline Hybrid,Gasoline Hybrid,,,1570
2010,Butte,Other,Natural Gas,,,8
2010,Butte,Other,Propane,,,6
2010,Calaveras,Diesel,Diesel,,,2982
2010,Calaveras,Gasoline,Flex Fuel,,,693
2010,Calaveras,Gasoline,Gasoline,,,35499
2010,Calaveras,Gasoline Hybrid,Gasoline Hybrid,,,458
2010,Calaveras,Other,Natural Gas,,,1
2010,Calaveras,Other,Propane,,,3
2010,Colusa,Diesel,Diesel,,,1195
2010,Colusa,Gasoline,Flex Fuel,,,468
2010,Colusa,Gasoline,Gasoline,,,12875
2010,Colusa,Gasoline Hybrid,Gasoline Hybrid,,,68
2010,Colusa,Other,Propane,,,4
2010,Contra Costa,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,10
2010,Contra Costa,Diesel,Diesel,,,10897
2010,Contra Costa,Gasoline,Flex Fuel,,,9703
2010,Contra Costa,Gasoline,Gasoline,,,630056
2010,Contra Costa,Gasoline Hybrid,Gasoline Hybrid,,,15506
2010,Contra Costa,Other,Natural Gas,,,117
2010,Contra Costa,Other,Propane,,,15
2010,Del Norte,Diesel,Diesel,,,1142
2010,Del Norte,Gasoline,Flex Fuel,,,340
2010,Del Norte,Gasoline,Gasoline,,,14452
2010,Del Norte,Gasoline Hybrid,Gasoline Hybrid,,,148
2010,Del Norte,Other,Natural Gas,,,1
2010,El Dorado,Diesel,Diesel,,,7074
2010,El Dorado,Gasoline,Flex Fuel,,,1993
2010,El Dorado,Gasoline,Gasoline,,,118846
2010,El Dorado,Gasoline Hybrid,Gasoline Hybrid,,,2056
2010,El Dorado,Other,Natural Gas,,,6
2010,El Dorado,Other,Propane,,,5
2010,Fresno,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,2
2010,Fresno,Diesel,Diesel,,,10833
2010,Fresno,Gasoline,Flex Fuel,,,10732
2010,Fresno,Gasoline,Gasoline,,,455655
2010,Fresno,Gasoline Hybrid,Gasoline Hybrid,,,3891
2010,Fresno,Other,Natural Gas,,,18
2010,Fresno,Other,Propane,,,16
2010,Glenn,Diesel,Diesel,,,1546
2010,Glenn,Gasoline,Flex Fuel,,,467
2010,Glenn,Gasoline,Gasoline,,,16625
2010,Glenn,Gasoline Hybrid,Gasoline Hybrid,,,81
2010,Glenn,Other,Propane,,,1
2010,Humboldt,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Humboldt,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Humboldt,Diesel,Diesel,,,6840
2010,Humboldt,Gasoline,Flex Fuel,,,1402
2010,Humboldt,Gasoline,Gasoline,,,81537
2010,Humboldt,Gasoline Hybrid,Gasoline Hybrid,,,1164
2010,Humboldt,Other,Natural Gas,,,3
2010,Humboldt,Other,Propane,,,3
2010,Imperial,Diesel,Diesel,,,2715
2010,Imperial,Gasoline,Flex Fuel,,,2986
2010,Imperial,Gasoline,Gasoline,,,99688
2010,Imperial,Gasoline Hybrid,Gasoline Hybrid,,,404
2010,Imperial,Other,Natural Gas,,,13
2010,Imperial,Other,Propane,,,1
2010,Inyo,Diesel,Diesel,,,1079
2010,Inyo,Gasoline,Flex Fuel,,,254
2010,Inyo,Gasoline,Gasoline,,,13534
2010,Inyo,Gasoline Hybrid,Gasoline Hybrid,,,126
2010,Inyo,Other,Natural Gas,,,1
2010,Inyo,Other,Propane,,,2
2010,Kern,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Kern,Diesel,Diesel,,,16092
2010,Kern,Gasoline,Flex Fuel,,,11303
2010,Kern,Gasoline,Gasoline,,,403815
2010,Kern,Gasoline Hybrid,Gasoline Hybrid,,,3156
2010,Kern,Other,Natural Gas,,,26
2010,Kern,Other,Propane,,,13
2010,Kings,Diesel,Diesel,,,2340
2010,Kings,Gasoline,Flex Fuel,,,2042
2010,Kings,Gasoline,Gasoline,,,64157
2010,Kings,Gasoline Hybrid,Gasoline Hybrid,,,469
2010,Kings,Other,Natural Gas,,,3
2010,Kings,Other,Propane,,,6
2010,Lake,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Lake,Diesel,Diesel,,,2573
2010,Lake,Gasoline,Flex Fuel,,,835
2010,Lake,Gasoline,Gasoline,,,44205
2010,Lake,Gasoline Hybrid,Gasoline Hybrid,,,515
2010,Lake,Other,Natural Gas,,,1
2010,Lake,Other,Propane,,,1
2010,Lassen,Diesel,Diesel,,,2060
2010,Lassen,Gasoline,Flex Fuel,,,374
2010,Lassen,Gasoline,Gasoline,,,16574
2010,Lassen,Gasoline Hybrid,Gasoline Hybrid,,,93
2010,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,5
2010,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,79
2010,Los Angeles,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,123
2010,Los Angeles,Diesel,Diesel,,,49017
2010,Los Angeles,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,FCX Clarity,12
2010,Los Angeles,Gasoline,Flex Fuel,,,92770
2010,Los Angeles,Gasoline,Gasoline,,,5286329
2010,Los Angeles,Gasoline Hybrid,Gasoline Hybrid,,,103203
2010,Los Angeles,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),Toyota,Prius,153
2010,Los Angeles,Other,Natural Gas,,,1664
2010,Los Angeles,Other,Propane,,,99
2010,Madera,Diesel,Diesel,,,3317
2010,Madera,Gasoline,Flex Fuel,,,1843
2010,Madera,Gasoline,Gasoline,,,72963
2010,Madera,Gasoline Hybrid,Gasoline Hybrid,,,546
2010,Madera,Other,Natural Gas,,,2
2010,Madera,Other,Propane,,,8
2010,Marin,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,15
2010,Marin,Diesel,Diesel,,,3102
2010,Marin,Gasoline,Flex Fuel,,,1661
2010,Marin,Gasoline,Gasoline,,,161046
2010,Marin,Gasoline Hybrid,Gasoline Hybrid,,,8447
2010,Marin,Other,Natural Gas,,,50
2010,Marin,Other,Propane,,,3
2010,Mariposa,Diesel,Diesel,,,1058
2010,Mariposa,Gasoline,Flex Fuel,,,247
2010,Mariposa,Gasoline,Gasoline,,,14142
2010,Mariposa,Gasoline Hybrid,Gasoline Hybrid,,,151
2010,Mariposa,Other,Natural Gas,,,1
2010,Mariposa,Other,Propane,,,2
2010,Mendocino,Diesel,Diesel,,,4760
2010,Mendocino,Gasoline,Flex Fuel,,,962
2010,Mendocino,Gasoline,Gasoline,,,59583
2010,Mendocino,Gasoline Hybrid,Gasoline Hybrid,,,1108
2010,Mendocino,Other,Natural Gas,,,4
2010,Mendocino,Other,Propane,,,3
2010,Merced,Diesel,Diesel,,,4459
2010,Merced,Gasoline,Flex Fuel,,,2992
2010,Merced,Gasoline,Gasoline,,,124676
2010,Merced,Gasoline Hybrid,Gasoline Hybrid,,,826
2010,Merced,Other,Natural Gas,,,2
2010,Merced,Other,Propane,,,7
2010,Modoc,Diesel,Diesel,,,856
2010,Modoc,Gasoline,Flex Fuel,,,128
2010,Modoc,Gasoline,Gasoline,,,5556
2010,Modoc,Gasoline Hybrid,Gasoline Hybrid,,,25
2010,Modoc,Other,Propane,,,1
2010,Mono,Diesel,Diesel,,,585
2010,Mono,Gasoline,Flex Fuel,,,160
2010,Mono,Gasoline,Gasoline,,,8665
2010,Mono,Gasoline Hybrid,Gasoline Hybrid,,,90
2010,Monterey,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,1
2010,Monterey,Diesel,Diesel,,,5868
2010,Monterey,Gasoline,Flex Fuel,,,4696
2010,Monterey,Gasoline,Gasoline,,,227776
2010,Monterey,Gasoline Hybrid,Gasoline Hybrid,,,3478
2010,Monterey,Other,Natural Gas,,,15
2010,Monterey,Other,Propane,,,13
2010,Napa,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Napa,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,3
2010,Napa,Diesel,Diesel,,,3075
2010,Napa,Gasoline,Flex Fuel,,,1504
2010,Napa,Gasoline,Gasoline,,,83801
2010,Napa,Gasoline Hybrid,Gasoline Hybrid,,,2092
2010,Napa,Other,Natural Gas,,,7
2010,Napa,Other,Propane,,,2
2010,Nevada,Diesel,Diesel,,,4560
2010,Nevada,Gasoline,Flex Fuel,,,931
2010,Nevada,Gasoline,Gasoline,,,67350
2010,Nevada,Gasoline Hybrid,Gasoline Hybrid,,,1182
2010,Nevada,Other,Natural Gas,,,3
2010,Nevada,Other,Propane,,,6
2010,Orange,Battery Electric (BEV),Battery Electric (BEV),Ford,Ranger,1
2010,Orange,Battery Electric (BEV),Battery Electric (BEV),MINI,Mini E,8
2010,Orange,Battery Electric (BEV),Battery Electric (BEV),Tesla,Roadster,29
2010,Orange,Diesel,Diesel,,,22603
2010,Orange,Fuel Cell (FCEV),Fuel Cell (FCEV),Honda,FCX Clarity,2
2010,Orange,Gasoline,Flex Fuel,,,31371
